username,password,isOwner
bookstoreowner, Password123, true
alice123,pass123,false
bob456,qwerty,false
charlie789,letmein,false
diana321,password1,false
edward555,123456,false
fiona888,abcdef,false
george777,hello123,false
hannah999,starwars,false
ian111,passw0rd,false
julia222,dragon,false
karen333,qazwsx,false
luke444,iloveyou,false
mary555,abc123,false
nathan666,passpass,false
oliver777,letmein,false
pamela888,monkey,false
quinn999,hello123,false
rachel111,qwerty,false
sam222,dragon,false
tina333,password1,false
uma444,abc123,false
vin555,123456,false
will666,passpass,false
xena777,qwerty,false
yara888,hello123,false
zack999,dragon,false
amy111,password1,false
brian222,letmein,false
chloe333,qazwsx,false
dan444,pass123,false
eric555,abcdef,false
fiona666,123456,false
hannah888,passpass,false
ian999,qwerty,false
julia111,password1,false
karen222,abc123,false
luke333,dragon,false
mary444,123456,false
nathan555,passpass,false
olivia666,letmein,false
peter777,qwerty,false
quincy888,password1,false
rachel999,dragon,false
sam111,abc123,false
tina222,123456,false
uma333,passpass,false
vin444,qwerty,false
will555,hello123,false
xena666,password1,false
yara777,dragon,false
zack888,123456,false
amy999,qazwsx,false
brian111,pass123,false
chloe222,letmein,false
dan333,password1,false
eric444,123456,false
fiona555,qwerty,false
george666,hello123,false
hannah777,dragon,false
oliver777,dragon,false
pamela888,hello123,false
